Title;Abstract;StoreId;AlternateTitle;ArticleType;AuthorAffiliation;Authors;companies;digitalObjectIdentifier;documentType;elecPubDate;entryDate;issn;issue;language;languageOfSummary;originalTitle;pages;placeOfPublication;pubdate;pubtitle;year;volume;DocumentURL;startPage
Empowering computing students with proficiency in robotics via situated learning;With the increasing employment of robots in multiple areas such as smart manufacturing and intelligent transportation, both undergraduate and graduate students from computing related majors (e.g., computer science and information technology) demonstrated strong interests in learning robotics technology to broaden their career opportunities. However, instilling computing students with robotics knowledge remains a challenge since most of them have limited pre-training in engineering subjects such as electronics and mechatronics. Therefore, robotics education for computing students demands an immersive real-world learning environment by considering both theories and intensive hands-on projects. Different from traditional textbook-directed robotics learning, in this study, a situated learning-based robotics education pedagogy is proposed for computing students to equip them with robotics expertise and foster their problem-solving skills in real-world human–robot interaction contexts. To create a realistic human–robot collaboration situation, a multi-modal collaborative robot is employed in the classroom-based learning community for the whole semester. Mini-project-based homework and team projects are designed for students to practice their critical thinking and hands-on experiences. The bidirectional-evaluation approach is utilized by the instructor and students to assess the quality of the proposed pedagogy. Practice results and student evaluations suggested that the proposed situated learning-based pedagogy and robotics curriculum provided computing students to learn robotics in an effective way, which was well recognized and accepted by students even most of them were beginners. Future work of this study is also discussed.;2582906141;;Scholarly Journals; Montclair State University, Department of Computer Science, Montclair, USA (GRID:grid.260201.7) (ISNI:0000 0001 0745 9736) , Montclair State University, Department of Computer Science, Montclair, USA (GRID:grid.260201.7) (ISNI:0000 0001 0745 9736) , Montclair State University, Department of Computer Science, Montclair, USA (GRID:grid.260201.7) (ISNI:0000 0001 0745 9736);"Wang, Weitian;Coutras Constantine;Zhu, Michelle";;10.1186/s40561-021-00167-6; Journal Article; 2021-10-18; Dec 2021;;1; English; English;;; Heidelberg;Dec 2021;Smart Learning Environments;2021;8;https://www.proquest.com/scholarly-journals/empowering-computing-students-with-proficiency/docview/2582906141/se-2;
ScrumOntoBDD: Agile software development based on scrum, ontologies and behaviour-driven development;"When developing a Learning Management System (LMS)&#xa0;using Scrum, we noticed that it was quite often necessary to redefine some system behaviour scenarios, due to ambiguities in the requirement specifications, or due to misinterpretations of stories reported by the Product Owners (POs). The definition of test suites was also cumbersome, resulting in test suites that were incomplete or did not at all comply with the system requirements. Based on this experience and to deal with these problems, in this paper, we propose the ScrumOntoBDD approach to agile software development, which combines Scrum, ontologies and Behaviour-Driven Development (BDD). This approach is centred on the concepts and techniques of Scrum and BDD and focuses on the planning and analysis phases of the software life cycle, since the BDD tools currently provide little support to these phases, while most of the problems during the LMS development were found exactly there. We claim that our approach improves the software development practices in this respect. Furthermore, ScrumOntoBDD employs ontologies in order to reduce ambiguities intrinsic to the use of a natural language as a BDD ubiquitous language. In this paper, we illustrate and systematically evaluate our approach, showing that it is beneficial since it improves the communication between members of an agile development team.";2540416441;;Scholarly Journals; Federal University of São Carlos, Department of Computing, São Carlos, Brazil (GRID:grid.411247.5) (ISNI:0000 0001 2163 588X) , Federal University of São Carlos, Department of Computing, São Carlos, Brazil (GRID:grid.411247.5) (ISNI:0000 0001 2163 588X) , University of Twente, Faculty of Electrical Engineering, Mathematics and Computer Science, Enschede, The Netherlands (GRID:grid.6214.1) (ISNI:0000 0004 0399 8953);"Lopes de Souza Pedro;Lopes de Souza Wanderley;Ferreira, Pires Luís";;10.1186/s13173-021-00114-w; Journal Article; 2021-06-13; Dec 2021;0104-6500;1; English; English;;; Rio de Janeiro;Dec 2021;Journal of the Brazilian Computer Society;2021;27;https://www.proquest.com/scholarly-journals/scrumontobdd-agile-software-development-based-on/docview/2540416441/se-2;
Impact on the personality of engineering students based on project‐based learning;"In an engineering study, the project/knowledge application module has a great weightage where students get an opportunity for the application of knowledge. Project evaluation consists of the following phases: documentation, presentation, teamwork, and leadership. This study has used the entire duration of the project assessment process for the evaluation of personality changes along with the academic assessment for the duration of 2 years. The intervention used for the evaluation is strongly correlated with five factors (openness, conscientiousness, extraversion, agreeableness, and neuroticism) of the OCEAN model. Statistical and descriptive tests are used for the assessment of the relationship of interventions on academic performance, personality development, and placement activity with 95% confidence. The survey has been conducted at the end of 2 years to validate the obtained results on the basis of interventions. From the results, it has been found that students can actually work upon personality enhancement till the 7th semester whereas the improvement in learning and analytical skills is a continuous process and the students in the 8th semester have shown significant variation in these two assessed parameters. Thus, the proposed intervention approach is an appropriate tool, which helps students to improve their personality at five factors of the OCEAN model results in&#xa0;360° enhancement in the personality along with academic performance.";2595938345;;Scholarly Journals; Department of Virtualization, School of Computer Science, University of Petroleum and Energy Studies, Dehradun, India , Department of Virtualization, School of Computer Science, University of Petroleum and Energy Studies, Dehradun, India , Department of Computer Science and Information Management, Providence University, Taichung, R.O.C.;"Salankar, Nilima;Koundal, Deepika;Yu‐Chen Hu";;10.1002/cae.22412; Journal Article; 2021-03-28; Nov 2021;1061-3773;6; English; English;; 1602-1616; Hoboken;Nov 2021;Computer Applications in Engineering Education;2021;29;https://www.proquest.com/scholarly-journals/impact-on-personality-engineering-students-based/docview/2595938345/se-2?accountid=11774; 1602
Teaching internet of things for engineering courses: A project-based cooperative approach;Internet of things is emerging in the recent years and is changing many traditional industries in the recent years. Engineering students of several knowledge areas may benefit with the introduction of internet of things concepts in the undergraduate courses, since there is an increasingly need of professionals to work in multidisciplinary teams. This paper proposes an undergraduate course to teach internet of things concepts for engineering students using cooperative problem-based learning (CPBL). The students have to develop a project using different internet of things technologies: sensing and actuation, embedded computing, communication and networking, cloud computing, and data analytics. The proposed course may help students to improve not only their technical skills but also soft skills, such as teamwork, communication and creativity. The developed projects achieved good results, and positive feedback was received from the students. Students from engineering courses related to internet of things had a better performance than students of no internet of things-related courses.;2610834763;;Scholarly Journals; Centro de Engenharia, Modelagem e Ciências Sociais Aplicadas, Universidade Federal do ABC, Santo André, Brazil;Kleinschmidt, João H;;10.1177/0020720919867437; Journal Article;; Oct 2021;0020-7209;4; English; English;; 858-873; Manchester;Oct 2021;International Journal of Electrical Engineering & Education;2021;58;https://www.proquest.com/scholarly-journals/teaching-internet-things-engineering-courses/docview/2610834763/se-2?accountid=11774; 858
Implementing studio-based learning for design education: a study on the perception and challenges of Malaysian undergraduates;Studio-based learning (SBL) is a teaching and learning methodology that combines different learning pedagogies such as social constructivist, problem-based, and active learning to mimic real-world working experience. Traditionally, SBL is practised in architecture and art programmes, however there is a growing number of research in other areas such as computer science, engineering, entrepreneurship and design courses. Nevertheless, in Malaysia, studies have only focused on architecture programmes. Therefore, this study focuses on reporting the experience and challenges of implementing SBL for a design course in the area of Visual Communication. By employing a qualitative methodology, findings show positive perception towards SBL where respondents reported awareness in improved design and communication skills, and increased acceptance towards team work. They found the critique sessions, facilitated their learning progress. Nevertheless, students reported challenges with inept teaching and learning facilities for design work, collaboration and communication breakdown with stakeholders. The study also reports on improvement strategies to enhance students learning experience through SBL.;2550572752;;Scholarly Journals; Centre for Instructional Technology and Multimedia, Universiti Sains Malaysia, Penang, Malaysia (GRID:grid.11875.3a) (ISNI:0000 0001 2294 3534) , Universidade de Coimbra – Polo II, Department of Computer Science, Faculty of Sciences and Technology, Rua Sílvio Lima, Coimbra, Portugal (GRID:grid.8051.c) (ISNI:0000 0000 9511 4342) , Politeknik METrO Tasek Gelugor, Tasek Gelugor, Malaysia (GRID:grid.8051.c);"Kumar Jeya Amantha;Silva, Paula Alexandra;Renugha, Prelath";;10.1007/s10798-020-09566-1; Journal Article; 2020-02-15; Jul 2021;0957-7572;3; English; English;; 611-631; Dordrecht;Jul 2021;International Journal of Technology and Design Education;2021;31;https://www.proquest.com/scholarly-journals/implementing-studio-based-learning-design/docview/2550572752/se-2?accountid=11774; 611
A multidisciplinary engineering capstone design course: A case study for design-based approach;The presented work describes the development of an engineering capstone course with multidisciplinary design projects and students’ teams. The course is offered for senior-level engineering students of four majors: those are bio-, environmental, materials, and mechanical engineering. In addition, engineering students can have minors in computer science. Most of the offered projects are sponsored by industrial partners and all are mentored by clients’ representatives and faculty members. The presented paper discusses the implementation of design-based learning approach to integrate the technical engineering design knowledge and the learning skills of interpersonal nature, such as communication skills, adaptability, teamwork, etc. In addition to the discussion of the design-based learning frame application, the paper deliberates over the importance of aligning the learning outcomes and the grading policy with the engineering design phases in engineering capstone design courses. The research objective of this study was to answer the following question: is there a difference in the peer evaluation of capstone design teams between multidisciplinary and single-disciplinary teams in terms of (1) contribution and skills and 2) team satisfaction. The presented work offers preliminary results of team’s satisfaction and performance based on the multi- and single-disciplinary teams. Preliminary findings for those two specific aspects indicate no significant differences in the overall design teams’ satisfaction. However, in terms of the team’s contribution and skills, the multidisciplinary teams scored higher mean values than the single-disciplinary teams.;2541259692;;Scholarly Journals; Department of Mechanical, Industrial & Manufacturing Engineering, University of Toledo, Toledo, OH , Department of Mechanical Engineering, University of California, Merced, CA , Department of Mechanical Engineering, University of California, Merced, CA , Department of Mechanical Engineering, University of California, Merced, CA;"Qattawi Ala;Ala'aldin, Alafaghani;Ablat, Muhammad Ali;Jaman Md Shah";;10.1177/0306419019882622; Journal Article;; Jul 2021;0306-4190;3; English; English;; 223-241; Chichester;Jul 2021;International Journal of Mechanical Engineering Education;2021;49;https://www.proquest.com/scholarly-journals/multidisciplinary-engineering-capstone-design/docview/2541259692/se-2?accountid=11774; 223
Studying phenological phenomena in subarctic biomes with international school pupils as citizen scientists;"Citizen science can facilitate in‐depth learning for pupils and students, contribute to scientific research, and permit civic participation. Here, we describe the development of the transnational school‐based citizen science project Phenology of the North Calotte . Its primary goal is to introduce pupils (age 12–15; grades 7–10) in northern Norway, Russia, and Finland to the local and global challenges of climate change resulting in life cycle changes at different trophic and ecosystem levels in their backyards. Partnerships between regional scientists and staff from NIBIO Svanhovd, State nature reserves, national parks, and teachers and pupils from regional schools aim to engage pupils in project‐based learning. The project uses standardized protocols, translated into the different languages of participating schools. The phenological observations are centered around documenting clearly defined life cycle phases (e.g., first appearance of species, flowering, ripening, leaf yellowing, snow fall, and melt). The observations are collected either on paper and are subsequently submitted manually to an open‐source online database or submitted directly via a newly developed mobile app. In the long term, the database is anticipated to contribute to research studying changes in phenology at different trophic levels. In principle, guided school‐based citizen science projects have the potential to contribute to increased environmental awareness and education and thereby to transformative learning at the societal level while contributing to scientific progress of understudied biomes, like the northern taiga and (sub)arctic tundra. However, differences in school systems and funding insecurity for some schools have been major prohibiting factors for long‐term retention of pupils/schools in the program. Project‐based and multidisciplinary learning, although pedagogically desired, has been partially difficult to implement in participating schools, pointing to the need of structural changes in national school curricula and funding schemes as well as continuous offers for training and networking for teachers.";2515100867;;Scholarly Journals; Norwegian Institute of Bioeconomy Research, NIBIO – Division of Environment and Natural Resources, Ås, Norway , Norwegian Institute of Bioeconomy Research, NIBIO – Division of Forest and Forest Resources, Ås, Norway , Pasvik State Nature Reserve, Rayakosky, Russia , Kandalaksha State Nature Reserve, Kandalaksha, Russia , Norwegian Institute of Bioeconomy Research, NIBIO – Division of Forest and Forest Resources, Ås, Norway , Norwegian Institute of Bioeconomy Research, NIBIO – Division of Environment and Natural Resources, Ås, Norway , Norwegian Institute of Bioeconomy Research, NIBIO – Division of Environment and Natural Resources, Ås, Norway , Norwegian Institute of Bioeconomy Research, NIBIO – Division of Environment and Natural Resources, Ås, Norway;"Cornelya F. C. Klütsch;Aspholm, Paul Eric;Polikarpova, Natalia;Veisblium, Olga;Tor‐Arne Bjørn;Wikan, Anne;Gonzalez, Victoria;Hagen, Snorre B";;10.1002/ece3.7122; Journal Article; 2020-12-30; Apr 2021;;8; English; English;; 3501-3515; Bognor Regis;Apr 2021;Ecology and Evolution;2021;11;https://www.proquest.com/scholarly-journals/studying-phenological-phenomena-subarctic-biomes/docview/2515100867/se-2; 3501
Project-based learning in a computer modelling course;The paper reports authors’ experience of implementing educational projects in a computer modelling course offered to the students majoring in “Secondary Education (Computer Science)” at Ternopil Volodymyr Hnatiuk National Pedagogical University. We analyze approaches to teaching mathematical and computer modelling such as: integration of modelling tasks, naturalistic case study, using of role-playing games, possibilities of STEM-education, motivation and positive attitude to modelling training, etc. Then we illustrate the implementation of the project to study the population dynamics of the grape snail Helix pomatia. The implementation of the project splits into several stages: formulation of the problem, presentation of project tasks, brainstorming, development, testing, presentation of results. The study was conducted at Ternopil Volodymyr Hnatiuk National Pedagogical University within the Norwegian-Ukrainian Project “Development of students' mathematical competencies through Digital Mathematical Modelling” (DeDiMaMo) in partnership with the University of Agder (Norway) and Borys Grinchenko Kyiv University.;2512912940;;Scholarly Journals;" Ternopil Volodymyr Hnatiuk National Pedagogical University, 2 M. Kryvonosa Str., 46027, Ternopil, Ukraine , Ternopil Volodymyr Hnatiuk National Pedagogical University, 2 M. Kryvonosa Str., 46027, Ternopil, Ukraine , Ternopil Volodymyr Hnatiuk National Pedagogical University, 2 M. Kryvonosa Str., 46027, Ternopil, Ukraine , Ternopil Volodymyr Hnatiuk National Pedagogical University, 2 M. Kryvonosa Str., 46027, Ternopil, Ukraine; Institute of Information Technologies and Learning Tools of NAES of Ukraine, 9 M. Berlynskoho Str., Kyiv, 04060, Ukraine , Campus Kristiansand, University of Agder, Universitetsveien 25, 4630, Kristiansand, Norway";"Balyk, N;Grod, I;Vasylenko, Y;Oleksiuk, V;Yu Rogovchenko";;10.1088/1742-6596/1840/1/012032; Conference Proceedings; 2021-03-19; Mar 2021;1742-6588;1; English; English;;; Bristol;Mar 2021;Journal of Physics: Conference Series;2021;1840;https://www.proquest.com/scholarly-journals/project-based-learning-computer-modelling-course/docview/2512912940/se-2;
Problem based Learning: An Experience of Evaluation based on Indicators, Case of Electronic Business in Professional Career of Systems Engineering;"It is a reality that universities place great emphasis on formative research in the training of their students in order to increase their knowledge, skills, attitudes and achieve competences. This paper aims to show the experience of applying the Problem-Based Learning (PBL) methodology to assess learning based on indicators that have been determined from the criteria considered to correspond to the competences of the course under study Business Electronic, at the Professional School of Systems Engineering (EPIS) of the Universidad Nacional de San Agustín de Arequipa (UNSA), Arequipa-Peru, with theory and laboratory practice taught by two teachers. The objective is to apply an evaluation strategy for the development of competences with active didactics to the engineering training course. The methodology used is Problem-Based Learning applied to a formative research project based on real problems common to many organizations. In the semester, the students in groups solve the problems stated, and then they deliver a deliverable report and formative research report of each problem that is scored through a rubric. The teachers make contributions and provide feedback in the report for the improvement and experience that the student is acquiring in their training. The results obtained show that the objectives are achieved, increasing knowledge, skills, attitudes and adequate evaluation in the training of students, as well as the development of the competences of the course, as well as achieving the results of the student; showing that the application of PBL with Formative Research would provide good results for other courses of the professional career, allowing continuous improvement in the teaching-learning process. The conclusion is that an adequate assessment of learning based on indicators with an active didactic strategy, effectively planned and adequately applied to real-life problems, makes it possible to achieve the expected student results.";2655118497;;Scholarly Journals;;"Baluarte-Araya, César;Suarez-Lopez, Ernesto;Ramirez-Valdez, Oscar";;10.14569/IJACSA.2021.0120966; Journal Article;; 2021;2158-107X;9; English; English;;; West Yorkshire;2021;International Journal of Advanced Computer Science and Applications;2021;12;https://www.proquest.com/scholarly-journals/problem-based-learning-experience-evaluation-on/docview/2655118497/se-2; n/a
Employing DDR to Design and Develop a Flipped Classroom and Project based Learning Module to Applying Design Thinking in Design and Technology;"The purpose of this study is to discuss the Design and Development (DDR) research approach that was used to develop a Flipped Classroom and project-based learning modules for students of Design and Technology (D&amp;T). The module's fundamental theory is based on 21st-century teaching and learning models, as well as design thinking. The DDR process is divided into three phases: analysis of needs, design and development, and evaluation. The phase of needs analysis is used to ascertain the necessity of module development and the application of design thinking. Three distinct data collection methods were used in this phase: semi-structured interviews, survey studies, and document analysis. The findings from this phase serve as a backup for the next phase. The Isman Instructional Design Model (2011) is adapted for use in this phase as a guide for module design and development. Additionally, the Fuzzy Delphi Method is used to obtain expert consensus on module material design, teaching and learning strategies, software development and hardware development requirements, and module prototype evaluation. The final phase is implementation and evaluation, which focuses on determining the module's effectiveness in the actual teaching and learning process. Each finding is organised and documented more systematically and orderly in accordance with the DDR phase in order to produce more meaningful research results. The conclusion of this article proposes a conceptual framework for the research.";2655113129;;Scholarly Journals;;"Mohd Ridzuan Padzil;Aidah Abd Karim;Hazrati Husnin";;10.14569/IJACSA.2021.0120988; Journal Article;; 2021;2158-107X;9; English; English;;; West Yorkshire;2021;International Journal of Advanced Computer Science and Applications;2021;12;https://www.proquest.com/scholarly-journals/employing-ddr-design-develop-flipped-classroom/docview/2655113129/se-2; n/a
Discussion on Teaching Method of Digital Image Processing Technology Based on PBL;"A required course for students majoring in digital media technology, computer science and technology, or artificial intelligence is “digital image processing technology.” Aviation, medical image processing, intelligent manufacturing, and many more fields may benefit from the knowledge and skills gained in this course. It contains the qualities of “many conceptions, numerous principles, and various formulae,” according to the curriculum. As a result, traditional teaching techniques only pay attention to the explanation of theoretical information, which may easily lead students to create uninteresting feelings; they have abandoned the in-depth investigation and learning of the course material. The PBL approach is used to provide an interest-driven and problem-solving-driven grounded teaching technique that naturally connects the theoretical foundation with real-world examples and problems. We utilize case teaching to assist students better comprehend theoretical information and to teach them how to apply theoretical knowledge to actual difficulties they encounter in their lives. During the course of many semesters of practice, we discovered that our teaching approaches are quite popular with students. The deployment of a teaching style focused on problem-based learning has resulted in significant improvements in students’ learning initiative, practical ability, and innovative ability.";2611358689;;Scholarly Journals; School of Artificial Intelligence and Computer Science, Jiangnan University, Wuxi, Jiangsu 214122, China;Chen, Lifang; WeChat;10.1155/2021/2348258; Journal Article;; 2021;;; English; English;;; Oxford;2021;Wireless Communications & Mobile Computing (Online);2021;2021;https://www.proquest.com/scholarly-journals/discussion-on-teaching-method-digital-image/docview/2611358689/se-2;
Education 4.0 and Computer Science: A European perspective;This systematic literature review aimed at identifying the pedagogical approaches, aligned with Education 4.0, used to support teaching computer science courses with undergraduate and graduate students in Europe. A three-step coding process was conducted to identify and analyse 20 papers. Quantitative and qualitative analysis of the selected papers revealed a three-cluster solution with common characteristics that could be used to describe those pedagogical approaches. The review also showed that the term Education 4.0 is still relatively new and has not been conceptualised in terms of computer science courses, although the characteristics of Education 4.0 are visible throughout the pedagogical approaches.;2604879789;;Conference Papers & Proceedings;;"Rienties, Bart;Ferguson, Rebecca;Herodotou, Christothea;Iniesto, Francisco;Sargent, Julia;Muccini, Henry;Balaban, Aigor;Virkus, Sirje";;; Conference Proceedings;; 2021;1847-2001;; English; English;; 139-146; Varazdin;2021;Central European Conference on Information and Intelligent Systems;2021;;https://www.proquest.com/conference-papers-proceedings/education-4-0-computer-science-european/docview/2604879789/se-2; 139
Comparing Competency Assessment in Electronics Engineering Education with and without Industry Training Partner by Challenge-Based Learning Oriented to Sustainable Development Goals;This study assessed the “creation of technological solutions for electronic devices” competencies evaluation when faculty–industry liaison is available. This experience at Tecnológico de Monterrey (TEC) was developed with challenge-based learning provided by the automotive electronics industry addressing subjects oriented toward some objectives of the Sustainable Development Goals (SDGs). The Electronics Engineering faculty and project engineers from automotive electronics and instrumentation companies promote design competencies in college students. This study analyzed the competency performance and outcome results of students who took applied electronics courses for the undergraduate level under the “i-Semester with industrial partner” for one semester and compared results with students that took the course under the traditional program. The competence evaluation was classified into three preliminary domain levels: 1 or low-level, 2 or medium-level, and 3 or high-level. Students were exposed to the conceptual, procedural, and attitudinal contents applied to solve the challenge assigned by the industrial partner. Students with an industrial partner showed a higher engagement, and they were more motivated in learning the subject, compared to students having classes in the traditional way. This study showed that in developing the competency “create technological solutions for electronic devices”, 55 students with an industrial partner obtained higher domain levels than 61 students with the traditional course.;2581066656;;Scholarly Journals;;"Dieck-Assad, Graciano;Ávila-Ortega, Alfonso;Omar Israel González Peña";;10.3390/su131910721; Journal Article; 2021-09-27; 2021;;19; English; English;;; Basel;2021;Sustainability;2021;13;https://www.proquest.com/scholarly-journals/comparing-competency-assessment-electronics/docview/2581066656/se-2; 10721
Two Decades of PBL in Teaching Computing: A Systematic Mapping Study;Contribution: This article adds to the results of previous systematic mapping study by addressing a more ample context of problem-based learning (PBL) in computing education. Background: PBL is defined as an instructional method of constructivist teaching that uses real problems as a motivating element for learning. Although PBL was born in medical education, it has been used in computing education to facilitate the students’ engagement and learning capacity, contributing to developing skills, such as teamwork, holistic vision, critical thinking, and solving problem. Considering that approach much more descriptive than prescriptive, it favors the implementation of diverse methodologies on its behalf. Research Question: “How the PBL approach has been applied in teaching computing?” Methodology: From the initial set of 3837 studies, 102 primary studies were selected and categorized through Kitchenham methodology for analysis from 1999 to 2019. Findings: Based on these studies, it was possible to verify a greater adoption of PBL in undergraduate education and a great diversity of strategies involving real-world problems, developing technical and no-technical skills and making the student much more motivated and engaged. Challenges were also mapped, which shows a very interesting field for new research.;2557983503;;Scholarly Journals; Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil , Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil , Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil , Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil;"dos Santos, Simone C;Reis, Priscila B S;Reis, Jacinto F S;Tavares, Fabio";;10.1109/TE.2020.3033416; Journal Article; 2021-08-02; 2021;0018-9359;3; English; English;; 233-244; New York;2021;IEEE Transactions on Education;2021;64;https://www.proquest.com/scholarly-journals/two-decades-pbl-teaching-computing-systematic/docview/2557983503/se-2?accountid=11774; 233
